Time,Avg Server Response (ms)
6/5/2012 0:00,458
6/5/2012 1:00,458
6/5/2012 2:00,464
6/5/2012 3:00,457
6/5/2012 4:00,473
6/5/2012 5:00,496
6/5/2012 6:00,516
6/5/2012 7:00,528
6/5/2012 8:00,531
6/5/2012 9:00,523
6/5/2012 10:00,511
6/5/2012 11:00,546
6/5/2012 12:00,528
6/5/2012 13:00,520
6/5/2012 14:00,521
6/5/2012 15:00,516
6/5/2012 16:00,521
6/5/2012 17:00,522
6/5/2012 18:00,532
6/5/2012 19:00,498
6/5/2012 20:00,471
6/5/2012 21:00,471
6/5/2012 22:00,448
6/5/2012 23:00,442
6/6/2012 0:00,427
6/6/2012 1:00,442
6/6/2012 2:00,423
6/6/2012 3:00,435
6/6/2012 4:00,451
6/6/2012 5:00,476
6/6/2012 6:00,499
6/6/2012 7:00,515
6/6/2012 8:00,516
6/6/2012 9:00,537
6/6/2012 10:00,518
6/6/2012 11:00,516
6/6/2012 12:00,509
6/6/2012 13:00,513
6/6/2012 14:00,517
6/6/2012 15:00,519
6/6/2012 16:00,619
6/6/2012 17:00,652
6/6/2012 18:00,666
6/6/2012 19:00,647
6/6/2012 20:00,519
6/6/2012 21:00,488
6/6/2012 22:00,469
6/6/2012 23:00,457
6/7/2012 0:00,461
6/7/2012 1:00,453
6/7/2012 2:00,454
6/7/2012 3:00,463
6/7/2012 4:00,463
6/7/2012 5:00,469
6/7/2012 6:00,496
6/7/2012 7:00,501
6/7/2012 8:00,520
6/7/2012 9:00,515
6/7/2012 10:00,527
6/7/2012 11:00,504
6/7/2012 12:00,516
6/7/2012 13:00,517
6/7/2012 14:00,504
6/7/2012 15:00,506
6/7/2012 16:00,482
6/7/2012 17:00,502
6/7/2012 18:00,549
6/7/2012 19:00,510
6/7/2012 20:00,504
6/7/2012 21:00,460
6/7/2012 22:00,468
6/7/2012 23:00,479
6/8/2012 0:00,473
6/8/2012 1:00,473
6/8/2012 2:00,481
6/8/2012 3:00,471
6/8/2012 4:00,484
6/8/2012 5:00,491
6/8/2012 6:00,523
6/8/2012 7:00,527
6/8/2012 8:00,547
6/8/2012 9:00,519
6/8/2012 10:00,577
6/8/2012 11:00,570
6/8/2012 12:00,543
6/8/2012 13:00,575
6/8/2012 14:00,532
6/8/2012 15:00,528
6/8/2012 16:00,496
6/8/2012 17:00,503
6/8/2012 18:00,503
6/8/2012 19:00,507
6/8/2012 20:00,473
6/8/2012 21:00,472
6/8/2012 22:00,467
6/8/2012 23:00,455
6/9/2012 0:00,454
6/9/2012 1:00,452
6/9/2012 2:00,457
6/9/2012 3:00,452
6/9/2012 4:00,465
6/9/2012 5:00,472
6/9/2012 6:00,486
6/9/2012 7:00,487
6/9/2012 8:00,507
6/9/2012 9:00,501
6/9/2012 10:00,509
6/9/2012 11:00,497
6/9/2012 12:00,509
6/9/2012 13:00,505
6/9/2012 14:00,483
6/9/2012 15:00,488
6/9/2012 16:00,494
6/9/2012 17:00,513
6/9/2012 18:00,499
6/9/2012 19:00,490
6/9/2012 20:00,485
6/9/2012 21:00,483
6/9/2012 22:00,458
6/9/2012 23:00,463
6/10/2012 0:00,457
6/10/2012 1:00,449
6/10/2012 2:00,466
6/10/2012 3:00,466
6/10/2012 4:00,462
6/10/2012 5:00,454
6/10/2012 6:00,478
6/10/2012 7:00,487
6/10/2012 8:00,504
6/10/2012 9:00,495
6/10/2012 10:00,482
6/10/2012 11:00,505
6/10/2012 12:00,519
6/10/2012 13:00,507
6/10/2012 14:00,503
6/10/2012 15:00,506
6/10/2012 16:00,506
6/10/2012 17:00,526
6/10/2012 18:00,516
6/10/2012 19:00,516
6/10/2012 20:00,480
6/10/2012 21:00,463
6/10/2012 22:00,476
6/10/2012 23:00,485
6/11/2012 0:00,456
6/11/2012 1:00,462
6/11/2012 2:00,450
6/11/2012 3:00,458
6/11/2012 4:00,468
6/11/2012 5:00,513
6/11/2012 6:00,535
6/11/2012 7:00,556
6/11/2012 8:00,568
6/11/2012 9:00,571
6/11/2012 10:00,556
6/11/2012 11:00,541
6/11/2012 12:00,547
6/11/2012 13:00,543
6/11/2012 14:00,544
6/11/2012 15:00,548
6/11/2012 16:00,570
6/11/2012 17:00,554
6/11/2012 18:00,582
6/11/2012 19:00,569
6/11/2012 20:00,520
6/11/2012 21:00,487
6/11/2012 22:00,485
6/11/2012 23:00,480
6/12/2012 0:00,480
6/12/2012 1:00,475
6/12/2012 2:00,473
6/12/2012 3:00,501
6/12/2012 4:00,524
6/12/2012 5:00,507
6/12/2012 6:00,553
6/12/2012 7:00,558
6/12/2012 8:00,554
6/12/2012 9:00,561
6/12/2012 10:00,567
6/12/2012 11:00,568
6/12/2012 12:00,559
6/12/2012 13:00,567
6/12/2012 14:00,535
6/12/2012 15:00,556
6/12/2012 16:00,558
6/12/2012 17:00,568
6/12/2012 18:00,563
6/12/2012 19:00,533
6/12/2012 20:00,523
6/12/2012 21:00,501
6/12/2012 22:00,499
6/12/2012 23:00,469
6/13/2012 0:00,465
6/13/2012 1:00,475
6/13/2012 2:00,483
6/13/2012 3:00,477
6/13/2012 4:00,490
6/13/2012 5:00,522
6/13/2012 6:00,563
6/13/2012 7:00,569
6/13/2012 8:00,600
6/13/2012 9:00,717
6/13/2012 10:00,579
6/13/2012 11:00,571
